# Capture histories exported from 'ms.ch' 
# Mon Apr 05 7:09:37 AM 2021 
# Session ID Occasion Detector Sex 
HiP_2016 Leopard_African_Male_2_5 1 HiP_2016_Station3 2
HiP_2016 Leopard_African_Male_2_5 1 HiP_2016_Station6 2
HiP_2016 Leopard_African_Male_2_5 1 HiP_2016_Station8 2
HiP_2016 Leopard_African_Male_2_5 1 HiP_2016_Station8 2
HiP_2016 Leopard_African_Male_2_5 1 HiP_2016_Station9 2
HiP_2016 Leopard_African_Male_2_5 1 HiP_2016_Station9 2
HiP_2016 Leopard_African_Male_2_5 1 HiP_2016_Station9 2
HiP_2016 Leopard_African_Male_2_63 1 HiP_2016_Station32 2
HiP_2016 Leopard_African_Male_2_63 1 HiP_2016_Station33 2
HiP_2016 Leopard_African_Male_2_63 1 HiP_2016_Station33 2
HiP_2016 Leopard_African_Male_2_63 1 HiP_2016_Station37 2
HiP_2016 Leopard_African_Male_2_76 1 HiP_2016_Station44 2
HiP_2016 Leopard_African_Male_2_76 1 HiP_2016_Station46 2
HiP_2016 Leopard_African_Male_2_76 1 HiP_2016_Station46 2
Ithala_2016 Leopard_African_Female_4_104 1 Ithala_2016_Station27 1
Ithala_2016 Leopard_African_Female_4_104 1 Ithala_2016_Station28 1
Ithala_2016 Leopard_African_Female_4_104 1 Ithala_2016_Station28 1
Ithala_2016 Leopard_African_Female_4_123 1 Ithala_2016_Station3 1
Ithala_2016 Leopard_African_Female_4_123 1 Ithala_2016_Station6 1
Ithala_2016 Leopard_African_Female_4_123 1 Ithala_2016_Station7 1
Ithala_2016 Leopard_African_Female_4_28 1 Ithala_2016_Station12 1
Ithala_2016 Leopard_African_Female_4_28 1 Ithala_2016_Station13 1
Ithala_2016 Leopard_African_Female_4_28 1 Ithala_2016_Station15 1
Ithala_2016 Leopard_African_Female_4_28 1 Ithala_2016_Station15 1
Ithala_2016 Leopard_African_Female_4_28 1 Ithala_2016_Station8 1
Ithala_2016 Leopard_African_Female_4_302 1 Ithala_2016_Station16 1
Ithala_2016 Leopard_African_Female_4_302 1 Ithala_2016_Station16 1
Ithala_2016 Leopard_African_Female_4_323 1 Ithala_2016_Station4 1
Ithala_2016 Leopard_African_Female_4_38 1 Ithala_2016_Station14 1
Ithala_2016 Leopard_African_Female_4_38 1 Ithala_2016_Station15 1
Ithala_2016 Leopard_African_Female_4_49 1 Ithala_2016_Station7 1
Ithala_2016 Leopard_African_Female_4_49 1 Ithala_2016_Station7 1
Ithala_2016 Leopard_African_Female_4_5 1 Ithala_2016_Station1 1
Ithala_2016 Leopard_African_Female_4_5 1 Ithala_2016_Station10 1
Ithala_2016 Leopard_African_Female_4_5 1 Ithala_2016_Station10 1
Ithala_2016 Leopard_African_Female_4_5 1 Ithala_2016_Station10 1
Ithala_2016 Leopard_African_Female_4_5 1 Ithala_2016_Station10 1
Ithala_2016 Leopard_African_Female_4_5 1 Ithala_2016_Station10 1
Ithala_2016 Leopard_African_Female_4_50 1 Ithala_2016_Station16 1
Ithala_2016 Leopard_African_Female_4_50 1 Ithala_2016_Station27 1
Ithala_2016 Leopard_African_Female_4_52 1 Ithala_2016_Station5 1
Ithala_2016 Leopard_African_Female_4_52 1 Ithala_2016_Station5 1
Ithala_2016 Leopard_African_Female_4_52 1 Ithala_2016_Station5 1
Ithala_2016 Leopard_African_Female_4_52 1 Ithala_2016_Station5 1
Ithala_2016 Leopard_African_Female_4_52 1 Ithala_2016_Station6 1
Ithala_2016 Leopard_African_Female_4_52 1 Ithala_2016_Station6 1
Ithala_2016 Leopard_African_Female_4_54 1 Ithala_2016_Station17 1
Ithala_2016 Leopard_African_Female_4_54 1 Ithala_2016_Station29 1
Ithala_2016 Leopard_African_Female_4_57 1 Ithala_2016_Station21 1
Ithala_2016 Leopard_African_Female_4_57 1 Ithala_2016_Station25 1
Ithala_2016 Leopard_African_Female_4_65 1 Ithala_2016_Station1 1
Ithala_2016 Leopard_African_Female_4_65 1 Ithala_2016_Station1 1
Ithala_2016 Leopard_African_Female_4_65 1 Ithala_2016_Station9 1
Ithala_2016 Leopard_African_Female_4_75 1 Ithala_2016_Station21 1
Ithala_2016 Leopard_African_Female_4_75 1 Ithala_2016_Station22 1
Ithala_2016 Leopard_African_Female_4_77 1 Ithala_2016_Station21 1
Ithala_2016 Leopard_African_Female_4_77 1 Ithala_2016_Station21 1
Ithala_2016 Leopard_African_Female_4_77 1 Ithala_2016_Station21 1
Ithala_2016 Leopard_African_Female_4_77 1 Ithala_2016_Station21 1
Ithala_2016 Leopard_African_Female_4_77 1 Ithala_2016_Station21 1
Ithala_2016 Leopard_African_Female_4_77 1 Ithala_2016_Station21 1
Ithala_2016 Leopard_African_Female_4_77 1 Ithala_2016_Station21 1
Ithala_2016 Leopard_African_Female_4_77 1 Ithala_2016_Station21 1
Ithala_2016 Leopard_African_Female_4_77 1 Ithala_2016_Station21 1
Ithala_2016 Leopard_African_Female_4_77 1 Ithala_2016_Station22 1
